#,target,auid,jd,mag,uncertainty,fainterthan,band,type,observer,airmass,transformed
1152,R SCT,000-BCD-304,2460629.53483,7.641,0.005,False,Johnson B,CCD,MSD,1.664,True
1153,R SCT,000-BCD-304,2460629.53693,6.296,0.004,False,Johnson V,CCD,MSD,1.678,True
1154,R SCT,000-BCD-304,2460630.53458,7.622,0.005,False,Johnson B,CCD,MSD,1.689,True
1155,R SCT,000-BCD-304,2460630.53668,6.345,0.005,False,Johnson V,CCD,MSD,1.703,True
1156,R Sct,000-BCD-304,2460811.082396,6.862,0.001,False,Johnson B,CCD,MSD,1.1143,False
1157,R Sct,000-BCD-304,2460811.083692,5.365,0.001,False,Johnson V,CCD,MSD,1.115,False
1158,R Sct,000-BCD-304,2460812.052049,6.85,0.004,False,Johnson B,CCD,MSD,1.1137,False
1159,R Sct,000-BCD-304,2460812.053426,5.422,0.002,False,Johnson V,CCD,MSD,1.1126,False
1160,R Sct,000-BCD-304,2460833.856065,7.842,0.003,False,Johnson B,CCD,MSD,1.2814,True
1161,R Sct,000-BCD-304,2460833.857211,6.56,0.003,False,Johnson V,CCD,MSD,1.2809,True
1162,R SCT,000-BCD-304,2460835.811829,8.017,0.004,False,Johnson B,CCD,MSD,1.346,True
1163,R SCT,000-BCD-304,2460835.813356,6.729,0.004,False,Johnson V,CCD,MSD,1.343,True
1164,r sct,000-BCD-304,2460844.4118,7.32,0.06,False,Johnson V,DSLR,CTIA,1.8,True
1165,r sct,000-BCD-304,2460844.4118,8.5,0.2,False,Johnson B,DSLR,CTIA,1.8,True
1166,r sct,000-BCD-304,2460846.3861,7.53,0.09,False,Johnson V,DSLR,CTIA,1.9,True
1167,r sct,000-BCD-304,2460846.3861,8.6,0.1,False,Johnson B,DSLR,CTIA,1.9,True
1168,r sct,000-BCD-304,2460849.4132,7.59,0.02,False,Johnson V,DSLR,CTIA,1.7,True
1169,r sct,000-BCD-304,2460849.4132,9.1,0.1,False,Johnson B,DSLR,CTIA,1.7,True
1170,r sct,000-BCD-304,2460850.3938,7.68,0.08,False,Johnson V,DSLR,CTIA,1.7,True
1171,r sct,000-BCD-304,2460850.3938,8.9,0.2,False,Johnson B,DSLR,CTIA,1.7,True
1172,r sct,000-BCD-304,2460852.3931,7.62,0.06,False,Johnson V,DSLR,CTIA,1.6,True
1173,r sct,000-BCD-304,2460852.3931,8.5,0.1,False,Johnson B,DSLR,CTIA,1.6,True
1174,r sct,000-BCD-304,2460856.3833,7.38,0.08,False,Johnson V,DSLR,CTIA,1.6,True
1175,r sct,000-BCD-304,2460856.3833,8.32,0.05,False,Johnson B,DSLR,CTIA,1.6,True
